run_id,sweep_value,seed,duration_ms,Whale Influence,Whale Proposal Rate,Governance Capture Risk,Single Entity Control,Collusion Threshold,Delegate Concentration,Voter Concentration Gini,Voting Power Utilization,Proposal Pass Rate,Quorum Reach Rate,Avg Time to Decision
Governance Capture Mitigations-vote_power_cap_fraction=0_1_vote_power_quadratic_threshold=500_vote_power_velocity_penalty=0-run-039,vote_power_cap_fraction=0.1_vote_power_quadratic_threshold=500_vote_power_velocity_penalty=0,1942,9568,0.40233746511521945,0.5862068965517241,0.394093526132543,0.02130451766210029,0.2631578947368421,0.3698833305740515,0.21809751872420646,0.4341614147601685,0.8255813953488372,1,1007.2906976744187
Governance Capture Mitigations-vote_power_cap_fraction=0_1_vote_power_quadratic_threshold=500_vote_power_velocity_penalty=0_3-run-039,vote_power_cap_fraction=0.1_vote_power_quadratic_threshold=500_vote_power_velocity_penalty=0.3,2042,5031,0.41092303762221283,0.49411764705882355,0.3821698524327098,0.021671050451173336,0.23157894736842105,0.3751489995036956,0.21930124405184898,0.40869764263776415,0.8941176470588236,1,1015.4941176470588
Governance Capture Mitigations-vote_power_cap_fraction=0_1_vote_power_quadratic_threshold=500_vote_power_velocity_penalty=0_6-run-039,vote_power_cap_fraction=0.1_vote_power_quadratic_threshold=500_vote_power_velocity_penalty=0.6,2142,12235,0.2759993369825994,0.3902439024390244,0.2747197076779286,0.019744073465479416,0.38421052631578945,0.2687196506797498,0.216199154151105,0.4518927190331508,0.8902439024390244,1,1026.219512195122
Governance Capture Mitigations-vote_power_cap_fraction=0_2_vote_power_quadratic_threshold=0_vote_power_velocity_penalty=0-run-039,vote_power_cap_fraction=0.2_vote_power_quadratic_threshold=0_vote_power_velocity_penalty=0,2242,5325,0.4575121186894707,0.3950617283950617,0.4664594517261017,0.025115528415978382,0.2,0.4444439171444847,0.22128708572531236,0.4193443996388567,0.8395061728395061,1,1035.6913580246915
Governance Capture Mitigations-vote_power_cap_fraction=0_2_vote_power_quadratic_threshold=0_vote_power_velocity_penalty=0_3-run-039,vote_power_cap_fraction=0.2_vote_power_quadratic_threshold=0_vote_power_velocity_penalty=0.3,2342,6015,0.48217561380729956,0.40404040404040403,0.46394458362776536,0.026629456417550677,0.1736842105263158,0.464676748325589,0.21206050152580602,0.47961200087690736,0.7916666666666666,1,1035.65625
Governance Capture Mitigations-vote_power_cap_fraction=0_2_vote_power_quadratic_threshold=0_vote_power_velocity_penalty=0_6-run-039,vote_power_cap_fraction=0.2_vote_power_quadratic_threshold=0_vote_power_velocity_penalty=0.6,2442,5100,0.5339791208666432,0.45348837209302323,0.5495726705772851,0.026898766105684573,0.1,0.5188336917852171,0.2118288956787429,0.495587759932945,0.6547619047619048,1,917.0952380952381
Governance Capture Mitigations-vote_power_cap_fraction=0_2_vote_power_quadratic_threshold=250_vote_power_velocity_penalty=0-run-039,vote_power_cap_fraction=0.2_vote_power_quadratic_threshold=250_vote_power_velocity_penalty=0,2542,4884,0.2712459394160398,0.40963855421686746,0.25182946966091047,0.02717986628488557,0.14736842105263157,0.2495208495270307,0.21466853489797705,0.3353180621455709,0.8902439024390244,1,1021.7439024390244
Governance Capture Mitigations-vote_power_cap_fraction=0_2_vote_power_quadratic_threshold=250_vote_power_velocity_penalty=0_3-run-039,vote_power_cap_fraction=0.2_vote_power_quadratic_threshold=250_vote_power_velocity_penalty=0.3,2642,13511,0.2649670793238189,0.5842696629213483,0.24927446526841046,0.025660481797261988,0.15789473684210525,0.24358181854028527,0.21318725999548227,0.33186772942789544,0.8764044943820225,1,997.2584269662922
Governance Capture Mitigations-vote_power_cap_fraction=0_2_vote_power_quadratic_threshold=250_vote_power_velocity_penalty=0_6-run-039,vote_power_cap_fraction=0.2_vote_power_quadratic_threshold=250_vote_power_velocity_penalty=0.6,2742,4449,0.19746057707455242,0.3717948717948718,0.20426046283979526,0.011609878015254368,0.4263157894736842,0.19552211246510945,0.22272018557955583,0.433553390269972,0.9066666666666666,1,1056.4533333333334
Governance Capture Mitigations-vote_power_cap_fraction=0_2_vote_power_quadratic_threshold=500_vote_power_velocity_penalty=0-run-039,vote_power_cap_fraction=0.2_vote_power_quadratic_threshold=500_vote_power_velocity_penalty=0,2842,4027,0.24610143455513017,0.28,0.23639793116024196,0.0196158253785291,0.4052631578947368,0.23877376319459234,0.21728963126378822,0.48603026375224356,0.9178082191780822,1,1075.6986301369864
