run_id,sweep_value,seed,duration_ms,Whale Influence,Whale Proposal Rate,Single Entity Control,Avg Time to Decision,Proposal Abandonment Rate,Voter Concentration Gini,Delegate Concentration,Governance Capture Risk,Voter Participation Rate,Average Turnout,Voter Retention Rate,Proposal Pass Rate,Avg Margin of Victory,Quorum Reach Rate,Final Treasury,Treasury Growth Rate
Conviction Voting Dynamics-72-run-099,72,240,11933,0.4339133188098862,0.18840579710144928,0.03215434083601286,55.666666666666664,0.13043478260869565,0.30982211121871656,0.48606448397853125,0.49415212056861774,0.3839229453596184,0.3317208198384607,1,0.7333333333333333,0.37475259811133316,1,5708.9996957712765,-0.8858685576001712
Conviction Voting Dynamics-168-run-007,168,248,8387,0.44581945413232615,0.18867924528301888,0.03215434083601286,111.14285714285714,0.20754716981132076,0.3157803337713383,0.48493183678080287,0.5213000333250678,0.37724129848822235,0.321526051590901,1,0.6190476190476191,0.34397702348505377,1,15731.722275638956,-0.6505548256296447
Conviction Voting Dynamics-168-run-005,168,246,8392,0.4272063228420677,0.1,0.03215434083601286,146.62790697674419,0.2833333333333333,0.3417596021414906,0.4582453828325299,0.5046409168673308,0.35993788819875777,0.29587671206586885,1,0.5116279069767442,0.3582908214070313,1,19016.321229355337,-0.6198352974773463
Conviction Voting Dynamics-168-run-001,168,242,9936,0.44564888274503883,0.18461538461538463,0.03215434083601286,121.72916666666667,0.26153846153846155,0.31430212594051404,0.47929296650660097,0.5018343030681832,0.376110845676063,0.32201773612034873,1,0.6666666666666666,0.33485910364569477,1,9769.698529898104,-0.8046891146526647
Conviction Voting Dynamics-168-run-003,168,244,9579,0.39933742483372786,0.12162162162162163,0.03215951117543013,133.14285714285714,0.33783783783783783,0.3523367998997619,0.4802753495469431,0.5111041194442496,0.3495047842873928,0.2995128199842396,1,0.673469387755102,0.40712229098864083,1,14013.265525892955,-0.7198538636485449
Conviction Voting Dynamics-72-run-100,72,241,13623,0.41494438792686295,0.13513513513513514,0.03215434083601286,62.68571428571428,0.05405405405405406,0.30083739414297206,0.4647649601655499,0.4700230458059365,0.38568071176766827,0.3141331654354277,1,0.6428571428571429,0.3490931827684106,1,58194.372999998406,0.292658392008893
Conviction Voting Dynamics-168-run-010,168,251,7094,0.44014291238121384,0.13725490196078433,0.03215434083601286,117.91428571428571,0.3137254901960784,0.333522803608892,0.4622275332481108,0.5173172403938922,0.36597247594690047,0.3055354746557951,1,0.7714285714285715,0.3452751171984732,1,10043.492091194814,-0.7992155718718295
Conviction Voting Dynamics-168-run-006,168,247,6763,0.41702684714080224,0.09259259259259259,0.03215434083601286,135.48275862068965,0.46296296296296297,0.33196208398998794,0.4695053894337065,0.5411331595301194,0.3699102829537613,0.3081850326288715,1,0.7586206896551724,0.3960634924510887,1,6163.188685719423,-0.8767886403979862
Conviction Voting Dynamics-168-run-008,168,249,8960,0.44438496965917745,0.17543859649122806,0.03215434083601286,126.69047619047619,0.2631578947368421,0.3177809722711944,0.462589612883737,0.4828841096267629,0.37430532853873805,0.3158410993236486,1,0.7142857142857143,0.35735748333869183,1,14990.502992075188,-0.6670193612509419
Conviction Voting Dynamics-168-run-004,168,245,12907,0.43265538196396996,0.1625,0.03215434083601286,123.70175438596492,0.2875,0.31109076312304723,0.46644679578341475,0.5003393453961581,0.3718167701863354,0.311929235227328,1,0.6666666666666666,0.36279523565965377,1,5650.556879058476,-0.8744854632381946
