run_id,sweep_value,seed,duration_ms,Proposal Pass Rate,Proposal Rejection Rate,Governance Capture Risk,Single Entity Control,Avg Time to Decision,Proposal Abandonment Rate,Whale Influence,Delegate Concentration,Collusion Threshold,Avg Margin of Victory,Voter Participation Rate,Average Turnout,Quorum Reach Rate,Total Proposals,Governance Overhead,Final Treasury
Bicameral Attack Resistance-0_5-run-035,0.5,76,946,0.726027397260274,0.273972602739726,0.5341166737782845,0.025,19.205479452054796,0,0.447844836000177,0.5163996883616433,0.1,0.3354712977626539,0.37540769732550555,0.3349057123333034,1,73,78.83561643835617,5350.077208890223
Bicameral Attack Resistance-0_5-run-036,0.5,77,1005,0.8554216867469879,0.14457831325301204,0.524045779875761,0.025,18.42168674698795,0.03488372093023256,0.450715956387989,0.5010162827303926,0.1,0.3133381778076421,0.3625692137320043,0.32492097220325217,1,86,78.89156626506023,6857.891012686985
Bicameral Attack Resistance-0_5-run-034,0.5,75,1076,0.7142857142857143,0.2857142857142857,0.5139520048520065,0.025,19.428571428571427,0.027777777777777776,0.4493504131584067,0.4834407225010729,0.1,0.33560610846014477,0.3631393298059964,0.32272523032681066,1,108,78.43809523809524,16052.443534971546
Bicameral Attack Resistance-0_5-run-033,0.5,74,1069,0.7878787878787878,0.21212121212121213,0.49435859327151677,0.025,17.09090909090909,0.038834951456310676,0.43791334931701537,0.49431589594020336,0.1,0.34791428212710024,0.3575127138233933,0.311797000375803,1,103,78.11111111111111,13018.924760801428
Bicameral Attack Resistance-0_5-run-032,0.5,73,1081,0.7545454545454545,0.24545454545454545,0.4993283694691405,0.025,18.80909090909091,0.009009009009009009,0.43464503231653917,0.4874303379872336,0.1,0.31348967533296,0.36838266838266814,0.31605347892418,1,111,78.06363636363636,6045.398798229337
Bicameral Attack Resistance-0_5-run-039,0.5,80,1093,0.7410714285714286,0.25892857142857145,0.509547833324904,0.025,18.080357142857142,0.042735042735042736,0.45195335331496217,0.49260637297111165,0.1,0.3396576749554711,0.3533577533577532,0.3131780519667606,1,117,77.51785714285714,4626.848024324192
Bicameral Attack Resistance-0_5-run-040,0.5,81,1033,0.6914893617021277,0.30851063829787234,0.5196641322444342,0.025,18.71276595744681,0.050505050505050504,0.42668790985018673,0.4908286320182913,0.1,0.2995615263108103,0.3606541606541605,0.3200112968651219,1,99,79.76595744680851,4665.913968351921
Bicameral Attack Resistance-0_5-run-038,0.5,79,1036,0.7340425531914894,0.26595744680851063,0.5259553760948688,0.025,18.53191489361702,0.04081632653061224,0.4587347649049903,0.4901265246526546,0.1,0.3235983934625683,0.3570942662779396,0.31749402872705024,1,98,78.18085106382979,63635.999999998545
Bicameral Attack Resistance-0_5-run-044,0.5,85,863,0.6951219512195121,0.3048780487804878,0.5252061340626094,0.025,17.573170731707318,0.0989010989010989,0.44540057708649183,0.4965149342628741,0.1,0.3580472483696718,0.34981684981684963,0.3098520169882781,0.989010989010989,91,81.52439024390245,13770.604538857515
Bicameral Attack Resistance-0_5-run-041,0.5,82,839,0.7866666666666666,0.21333333333333335,0.5092810037464284,0.025006251562890724,18.8,0.013157894736842105,0.4379331532116115,0.4950532619671514,0.09523809523809523,0.3668501301476217,0.3550751879699249,0.3137076256673354,1,76,75.56,15258.601042946717
