run_id,sweep_value,seed,duration_ms,Proposal Pass Rate,Average Turnout,Voter Participation Rate,Delegate Concentration,Whale Influence,Voter Concentration Gini,Unique Voter Count,Voter Retention Rate,Quorum Reach Rate,Final Member Count,Total Proposals,Avg Votes Per Proposal,Participation Trend,Token Concentration Gini,Final Gini,Final Treasury,Governance Capture Risk,Single Entity Control
Scale Sweep-100-run-016,100,853,5869,0.9487179487179487,0.23896338193759015,0.24169884585345863,0.27909147018337976,0.2686844115992702,0.40841918582183223,245,0.9090909090909091,1,301,39,52.23076923076923,0.004412604445837599,0.4183296452518957,0.4185698842537393,12042.71385415331,0.27969388138540313,0.027054597430756663
Scale Sweep-200-run-016,200,883,10936,0.975609756097561,0.212799777053524,0.2474084513274938,0.2547442501934423,0.2679133337068905,0.3944230969320575,316,0.9256505576208178,1,405,41,78.17073170731707,0.0021616770475731944,0.4924742915053607,0.4924166816984079,11856.178168748478,0.2602981659930084,0.017694648231694567
Scale Sweep-350-run-016,350,913,26013,1,0.2121304453297319,0.23042903189364836,0.25965431286127105,0.2676236638143438,0.37861678153469136,457,0.8957816377171216,1,565,72,107.41666666666667,0.0007129047061099666,0.4936350595088983,0.4948202890665705,12106.991108162547,0.26020677845655293,0.013314314727626106
Scale Sweep-500-run-016,500,943,52671,0.9705882352941176,0.23245314772114686,0.23060017974062874,0.26657166739056604,0.2723220696234693,0.37348748293668405,623,0.868421052631579,1,721,71,140.5211267605634,0.0006303125316345691,0.4495955941908002,0.4495309833081105,10769.807374582866,0.2681004983419607,0.009186412064749171
Scale Sweep-50-run-017,50,824,3560,0.9714285714285714,0.21852778675570236,0.268841368441104,0.32180326399021797,0.27133865823846537,0.4416168327796235,197,0.9354838709677419,1,250,37,41.5945945945946,0.0033340820347020433,0.49838949641490793,0.4978157301650983,11062.829636401026,0.31921347168873965,0.02509799741461595
Scale Sweep-100-run-017,100,854,5537,0.9666666666666667,0.22871234880208116,0.2489589378944739,0.30212630387674383,0.2922016624344423,0.45295533051578024,225,0.9239766081871345,1,301,31,49.58064516129032,0.004397901856861511,0.4506687738232787,0.450469723262366,12043.11727876934,0.3156768169470385,0.026908033442173095
Scale Sweep-200-run-017,200,884,13718,0.9767441860465116,0.22130556710394514,0.23587077997174982,0.27760188882282044,0.2786895290869726,0.41558091668830266,315,0.9333333333333333,1,405,43,71.93023255813954,0.002701268828436645,0.4998385691383214,0.4997799438186419,11552.703884593304,0.29094085725074004,0.018186232454144285
Scale Sweep-350-run-017,350,914,25055,0.9821428571428571,0.22889998493490712,0.23432467164734597,0.2554272226199073,0.26898690738504466,0.3663934796651576,464,0.9152119700748129,1,565,58,108.34482758620689,0.0012365774194571652,0.45899180588885663,0.45875954760750304,12063.377085313983,0.250716667117775,0.014323600253149047
Scale Sweep-500-run-017,500,944,51966,1,0.22528916630751722,0.23459566431564524,0.2603511485139777,0.26853731248520213,0.367465252116506,602,0.9024856596558317,1,721,66,144.13636363636363,0.0007577950058702966,0.4779002156664118,0.47789193344629943,12076.033781841828,0.25450806956617705,0.01046658745761269
Scale Sweep-50-run-018,50,825,5433,0.9130434782608695,0.22440952365108843,0.2709761806821323,0.3130386225629177,0.26067805689643836,0.46523270440251574,200,0.8632478632478633,1,250,24,41.166666666666664,0.006267921856378922,0.46832251883623005,0.46827517964533105,10695.903520606173,0.3295018553479303,0.03094822269628282
Scale Sweep-100-run-018,100,855,4957,1,0.21401294214706554,0.22887368649079526,0.2962730980279995,0.29611833512153984,0.44254271476032275,224,0.9655172413793104,1,301,29,50.241379310344826,0.002828161685643961,0.4666267186469589,0.4666123885690616,11270.786832089252,0.28942136448658334,0.024190892657954127
Scale Sweep-200-run-018,200,885,10009,1,0.21392125776022192,0.2443507990178869,0.2718217918322462,0.26569426445130034,0.3998083701194265,331,0.917910447761194,1,405,40,75.975,0.0016960745179456272,0.48604656175251604,0.4859894520253214,12049.914242057665,0.25935202003194935,0.018575494249542066
Scale Sweep-350-run-018,350,915,29431,1,0.22446600990268445,0.21445496505433204,0.2625244677687291,0.26520527286800516,0.3824466321062645,469,0.9095477386934674,1,565,79,99.18987341772151,0.0006858545961392468,0.4316916807487692,0.4316660906254295,11581.262364581286,0.25816438787005974,0.012611494019853202
Scale Sweep-500-run-018,500,945,52687,1,0.22184555080684165,0.22492353418661976,0.24511901274966458,0.2660379067465434,0.3580940789152759,604,0.9010989010989011,1,721,69,141.08695652173913,0.0009554237156960103,0.4713503030014717,0.47133678556882264,12071.391077826438,0.24136896959797965,0.009812602025312376
Scale Sweep-50-run-019,50,826,5071,0.9090909090909091,0.2188724989088287,0.2734913197612272,0.28767041027074564,0.2643039203460246,0.409119018404908,198,0.9485294117647058,1,250,34,43.029411764705884,0.004007718560002102,0.507438507397775,0.507424215239993,10647.921128446098,0.2956243686898268,0.026085897664094738
Scale Sweep-100-run-019,100,856,6212,0.9473684210526315,0.23739700392837002,0.24883421959862992,0.2823058034943343,0.2858395238705626,0.41197849636785716,237,0.9341317365269461,1,301,39,50.46153846153846,0.0036773299042417353,0.4509856321663048,0.4508828578514066,12040.719370168004,0.28854656247254284,0.01939921648850015
Scale Sweep-200-run-019,200,886,10626,0.9787234042553191,0.23486349303527018,0.2346338206328886,0.2552595059428491,0.2607234123135104,0.3805571164279353,333,0.9236641221374046,1,405,48,73.04166666666667,0.0032985412432637584,0.44249169642458736,0.4423839032530299,12043.75883160381,0.26293363556932553,0.02033361257209318
Scale Sweep-350-run-019,350,916,25310,0.9836065573770492,0.2205439095256599,0.23546660563454402,0.2513131042362986,0.2577941155781802,0.3817268726727598,469,0.9037974683544304,1,565,65,108.32307692307693,0.0006550124512063964,0.4735301518450301,0.47343484098937116,12063.843635221248,0.2510531678425253,0.01635785394562473
Scale Sweep-500-run-019,500,946,51780,1,0.23750848268005773,0.18969418922849587,0.21149208783671003,0.22284759407016652,0.3930407682054519,573,0.904572564612326,1,721,94,117.12765957446808,0.0009385658077333037,0.4025799481774235,0.40251722512810617,12074.543890746801,0.20652277801170818,0.010755635603643088
Scale Sweep-50-run-020,50,827,4575,0.9285714285714286,0.1990048611531037,0.2727506708826816,0.291731833443003,0.2558755541978553,0.4152490974729242,201,0.9507042253521126,1,250,43,45.69767441860465,0.002710942056027898,0.5096973226358114,0.5097923075290962,12038.471083970573,0.30149796413442376,0.025088470684862755
Scale Sweep-100-run-020,100,857,5147,0.9375,0.2567883954057088,0.23704023870460503,0.27906279092858055,0.26754587461898705,0.4898450836071291,217,0.9453125,1,301,32,42.5625,0.0051065199052897775,0.389737868089031,0.3894378683593951,11288.348201330466,0.28754992492477016,0.02260959280674744
Scale Sweep-200-run-020,200,887,12799,0.9827586206896551,0.23550463504120958,0.23029008726951708,0.25360312011812847,0.2615106465914252,0.42536795594298044,317,0.9116465863453815,1,405,59,70.69491525423729,0.0016586397429803562,0.44553955563799796,0.44553826010542497,11846.58757653935,0.2578018583567014,0.015851077726382265
Scale Sweep-350-run-020,350,917,25467,1,0.22772527919039354,0.233691688729986,0.2645155503188327,0.2656556811581515,0.37614491468863515,478,0.8872549019607843,1,565,61,107.93442622950819,0.0008484672533988097,0.4581127922402887,0.45804845538944594,12061.920431220547,0.2584199317555357,0.01229472801514441
Scale Sweep-500-run-020,500,947,45773,1,0.23525270802992393,0.20447221512376135,0.23521959909465381,0.24473792526976704,0.37621059533899065,619,0.8552875695732839,1,721,71,124.80281690140845,0.0010302377292958226,0.3920889541539232,0.3922024237770996,12076.782520753903,0.2338820052286418,0.010550494626763668
Scale Sweep-50-run-021,50,828,4418,1,0.20589026722980663,0.2760703577994296,0.29075857077856454,0.2562597198399993,0.4207600281491907,195,0.9323308270676691,1,250,27,44.333333333333336,0.005047158783773381,0.47530369130057337,0.47530507845065895,11024.865957557524,0.2839440430516985,0.025789092162980268
Scale Sweep-100-run-021,100,858,6408,0.9696969696969697,0.22043313828401154,0.2535271634411173,0.2807528351750386,0.272554403103478,0.404877514512066,235,0.9202127659574468,1,301,33,54.24242424242424,0.004304650755211975,0.47090478242101397,0.47071043268288393,12040.949750630298,0.28654031953106385,0.024136784191295616
Scale Sweep-200-run-021,200,888,14101,0.975609756097561,0.2252616952693295,0.2379782755117764,0.2766051291884938,0.2799330600455198,0.410344927284818,326,0.9362549800796812,1,405,43,74.4186046511628,0.0016304920090312526,0.43780341227780095,0.4376511601421098,12052.555880654641,0.2748292343456543,0.018231453743865644
Scale Sweep-350-run-021,350,918,23553,1,0.2358719175015845,0.21811455071078495,0.2610989154178896,0.27679447561420345,0.3702678398843591,464,0.9170854271356784,1,565,59,101.42372881355932,0.0010427279185278601,0.43012126550541085,0.43011171259396197,12059.02233691343,0.2578723112945533,0.014916960853415819
Scale Sweep-500-run-021,500,948,44094,1,0.23257392236267765,0.2169112478891537,0.24102608309362408,0.2516696736397244,0.37824249984585845,604,0.8918406072106262,1,721,65,133.30769230769232,0.0007614733395367142,0.4342142423888157,0.4341440598721482,12074.191991265163,0.2358088866549267,0.00860666302319268
