# Pairwise T-Test Comparisons
sweep_value_1,sweep_value_2,metric,t_statistic,df,p_value,significant,cohens_d,effect_interpretation
0.03,0.1,Final Reputation Gini,-1.339488,31.736624,0.189926,false,-0.345854,small
0.05,0.08,Proposal Pass Rate,1.378888,57.957010,0.173228,false,0.356027,small
0.05,0.08,Average Turnout,1.546844,55.682971,0.127566,false,0.399393,small
0.05,0.08,Final Treasury,-0.104519,57.270418,0.917123,false,-0.026987,negligible
0.05,0.08,Final Token Price,-0.943081,42.906449,0.350920,false,-0.243503,small
0.05,0.08,Final Member Count,0,58,1,false,0,negligible
0.05,0.08,Total Proposals,-0.256821,56.786764,0.798245,false,-0.066311,negligible
0.05,0.08,Quorum Reach Rate,1.566319,57.778071,0.122735,false,0.404422,small
0.05,0.08,Avg Margin of Victory,0.139425,52.187659,0.889651,false,0.035999,negligible
0.05,0.08,Avg Time to Decision,0.781835,57.968075,0.437494,false,0.201869,small
0.05,0.08,Proposal Abandonment Rate,0.934006,57.809905,0.354186,false,0.241159,small
0.05,0.08,Proposal Rejection Rate,-1.378888,57.957010,0.173228,false,-0.356027,small
0.05,0.08,Governance Overhead,1.262126,56.287960,0.212108,false,0.325880,small
0.05,0.08,Unique Voter Count,0,58,1,false,0,negligible
0.05,0.08,Voter Participation Rate,1.199507,56.306315,0.235354,false,0.309711,small
0.05,0.08,Voter Concentration Gini,-1.280317,57.950583,0.205535,false,-0.330576,small
0.05,0.08,Delegate Concentration,-1.508765,57.998413,0.136787,false,-0.389562,small
0.05,0.08,Avg Votes Per Proposal,1.199507,56.306315,0.235354,false,0.309711,small
0.05,0.08,Voter Retention Rate,-1.000000,29,0.325582,false,-0.258199,small
0.05,0.08,Voting Power Utilization,1.546844,55.682971,0.127566,false,0.399393,small
0.05,0.08,Treasury Volatility,1.687255,56.883496,0.097031,false,0.435647,small
0.05,0.08,Treasury Growth Rate,-1.449103,57.689171,0.152723,false,-0.374157,small
0.05,0.08,Staking Participation,1.169899,57.493725,0.246868,false,0.302067,small
0.05,0.08,Token Concentration Gini,-1.732307,56.513113,0.088674,false,-0.447280,small
0.05,0.08,Avg Member Wealth,-1.253029,57.105191,0.215302,false,-0.323531,small
0.05,0.08,Wealth Mobility,1.732307,56.513113,0.088674,false,0.447280,small
0.05,0.08,Whale Influence,-0.824540,57.158700,0.413061,false,-0.212895,small
0.05,0.08,Whale Proposal Rate,0.141791,57.999174,0.887736,false,0.036610,negligible
0.05,0.08,Governance Capture Risk,-1.487186,56.386673,0.142537,false,-0.383990,small
0.05,0.08,Vote Buying Vulnerability,0.116985,54.405402,0.907303,false,0.030205,negligible
0.05,0.08,Single Entity Control,1.073561,57.673085,0.287491,false,0.277192,small
0.05,0.08,Collusion Threshold,1.350493,57.992715,0.182104,false,0.348696,small
0.05,0.08,Participation Trend,-0.624915,52.898871,0.534713,false,-0.161352,negligible
0.05,0.08,Treasury Trend,-2.406090,52.552639,0.019675,false,-0.621250,medium
0.05,0.08,Member Growth Rate,0,58,1,false,0,negligible
0.05,0.08,Proposal Rate,-0.256821,56.786764,0.798245,false,-0.066311,negligible
0.05,0.08,Governance Activity Index,1.137015,57.151645,0.260277,false,0.293576,small
0.05,0.08,Final Gini,-1.732307,56.513113,0.088674,false,-0.447280,small
0.05,0.08,Final Reputation Gini,0.030784,55.537849,0.975552,false,0.007948,negligible
0.05,0.1,Proposal Pass Rate,1.301789,53.427067,0.198574,false,0.336120,small
0.05,0.1,Average Turnout,2.016644,55.801580,0.048555,false,0.520695,medium
0.05,0.1,Final Treasury,0.774920,56.495454,0.441618,false,0.200084,small
0.05,0.1,Final Token Price,-1.792935,39.302303,0.080682,false,-0.462934,small
0.05,0.1,Final Member Count,0,58,1,false,0,negligible
0.05,0.1,Total Proposals,0.082270,55.034740,0.934731,false,0.021242,negligible
0.05,0.1,Quorum Reach Rate,2.199263,57.857274,0.031870,false,0.567847,medium
0.05,0.1,Avg Margin of Victory,-1.124863,57.250028,0.265341,false,-0.290438,small
0.05,0.1,Avg Time to Decision,0.065257,55.170973,0.948206,false,0.016849,negligible
0.05,0.1,Proposal Abandonment Rate,0.560608,56.620830,0.577276,false,0.144748,negligible
0.05,0.1,Proposal Rejection Rate,-1.301789,53.427067,0.198574,false,-0.336120,small
0.05,0.1,Governance Overhead,2.201606,55.933413,0.031835,false,0.568452,medium
0.05,0.1,Unique Voter Count,0,58,1,false,0,negligible
0.05,0.1,Voter Participation Rate,2.169332,56.159200,0.034306,false,0.560119,medium
0.05,0.1,Voter Concentration Gini,-2.010626,51.294376,0.049636,false,-0.519141,medium
0.05,0.1,Delegate Concentration,-2.410322,56.160648,0.019237,false,-0.622343,medium
0.05,0.1,Avg Votes Per Proposal,2.169332,56.159200,0.034306,false,0.560119,medium
0.05,0.1,Voter Retention Rate,0,58,1,false,0,negligible
0.05,0.1,Voting Power Utilization,2.016644,55.801580,0.048555,false,0.520695,medium
0.05,0.1,Treasury Volatility,0.264067,57.994768,0.792664,false,0.068182,negligible
